Time;ID;Type;Value
00:21.921;ID:2;RSSI;-100
00:21.923;ID:2;RSSI short;-100
00:21.924;ID:2;RSSI long;-100
00:22.015;ID:2;RSSI;-100
00:22.016;ID:2;RSSI short;-100
00:22.018;ID:2;RSSI long;-100
00:22.109;ID:2;RSSI;-100
00:22.110;ID:2;RSSI short;-100
00:22.111;ID:2;RSSI long;-100
00:22.202;ID:2;RSSI;-100
00:22.204;ID:2;RSSI short;-100
00:22.205;ID:2;RSSI long;-100
00:22.296;ID:2;RSSI;-100
00:22.298;ID:2;RSSI short;-100
00:22.299;ID:2;RSSI long;-101
00:22.390;ID:2;RSSI;-100
00:22.391;ID:2;RSSI short;-100
00:22.393;ID:2;RSSI long;-100
00:22.484;ID:2;RSSI;-100
00:22.485;ID:2;RSSI short;-100
00:22.486;ID:2;RSSI long;-100
00:22.546;ID:2;Send;10
00:22.547;ID:2;Recieved;10
00:22.553;ID:2;Jamming detected by message shortage: changed to channel 18 ;
00:22.581;ID:2;RSSI;-100
00:22.583;ID:2;RSSI short;-100
00:22.584;ID:2;RSSI long;-100
00:22.675;ID:2;RSSI;-100
